GaugeID,mean_severe_prob,event_count,lat,lon,risk_category,confidence
INDOFLOODS-gauge-885,0.3411261,3,9.3239,77.9903,Medium,Low
INDOFLOODS-gauge-889,0.4832895,1,11.0317,77.8875,Medium,Low
INDOFLOODS-gauge-890,0.3825424,9,8.16,77.4575,Medium,High
INDOFLOODS-gauge-896,0.31725678,6,11.5728,76.9192,Medium,High
INDOFLOODS-gauge-898,0.6083942,3,12.555,78.1386,High,Low
INDOFLOODS-gauge-913,0.4972496,1,16.0869,78.8967,Medium,Low
INDOFLOODS-gauge-916,0.73783535,13,17.75,77.9283,High,High
INDOFLOODS-gauge-917,0.5282939,6,16.2592,77.8411,High,High
INDOFLOODS-gauge-922,0.59759414,2,17.8372,80.8861,High,Low
INDOFLOODS-gauge-925,0.58939093,6,17.6681,80.8772,High,High
INDOFLOODS-gauge-926,0.5911898,5,17.2544,77.4628,High,High
INDOFLOODS-gauge-939,0.56205606,33,18.2167,77.9406,High,High
INDOFLOODS-gauge-943,0.62456334,2,18.6203,79.8042,High,Low
INDOFLOODS-gauge-944,0.58961993,2,24.0789,91.5919,High,Low
INDOFLOODS-gauge-97,0.22784273,7,18.2,82.65,Low,High
