T1d,rain_day2,Precipitation of Coldest Quarter,T2d,rain_day3,T9d,Mean Diurnal Range,rain_accel,rain_frontload,T3d,month,T10d,T5d,T4d,T8d,T6d,T7d,Secondorder Streams  Mean Length,Source Catchment Area,Mean Temperature of Warmest Quarter,FirstSecond Bifurcation Ratio,Road Density,2010_GDP_PC_PPP,Min Temperature of Coldest Month,Precipitation of Wettest Quarter,Sinuosity Index,Temperature Seasonality,Catchment Relief,ThirdForth Stream Length Ratio,Mean Temperature of Driest Quarter,Precipitation of Driest Quarter,gauge_flood_count,Fitness Ratio,FirstSecond Stream Length Ratio,2015_GDP_PPP,Relief Ratio,Form Factor,Annual Precipitation,Area variation (%),Precipitation of Wettest Month
-0.3714263,0.0074811676,0.11648542,-0.050224323,-0.0008453288,-0.005603461,-0.5378934,0.0047662184,-0.04179655,-0.01979301,-0.00410723,-0.0049821506,0.00593527,0.023323039,-0.003990842,0.0045788013,0.0045183003,-0.026205186,0.00069866644,0.026474146,-0.039666492,-0.11580161,-0.0070128827,0.086356066,-0.069509156,0.018453576,0.07897484,-0.018347805,0.033218794,0.018369203,0.043299764,-0.005834258,-0.01027778,-0.030778302,-0.011306226,-0.0012942762,-0.0012469774,-0.06099268,0.01063784,-0.080929875
-0.048044715,-0.0030593136,0.11771244,0.0018723388,-0.0049730833,-0.0012059975,-0.5090447,-0.0005860179,0.010260827,-0.007714921,-0.004001987,-0.00056253653,0.0038391973,-3.5539386e-05,-0.002900888,0.0038622608,0.0031050444,-0.016320273,-0.0035213192,0.026588809,-0.01389997,-0.12186387,-0.010081728,0.08562336,-0.07299239,0.018453576,0.11137831,-0.022426588,0.033218794,0.018369203,0.07141808,-0.002133694,-0.009537492,-0.008811627,-0.011306226,-0.0012942762,-0.0013672502,-0.060303494,0.011022367,-0.07565597
-0.3574848,0.009119609,0.13506575,-0.046852335,0.019950738,0.103430964,-0.570227,0.0015746169,-0.02770616,-0.035801433,0.0023913204,0.0011622484,-0.007159687,-0.025233468,0.026723124,0.0031176233,0.0052678715,-0.044082906,0.00041369977,0.025637431,-0.0376253,-0.12182438,-0.009084618,0.0858013,-0.015983675,0.017679306,0.12014462,-0.018347805,0.03327801,0.018369203,0.045658126,-0.0046268366,0.0043414496,-0.045254357,-0.0140291555,-0.0012942762,-0.0012469774,-0.060088605,0.009998439,-0.07619139
-0.3574848,0.009119609,0.13506575,-0.046852335,0.019950738,0.103430964,-0.570227,0.0015746169,-0.02770616,-0.035801433,0.0023913204,0.0011622484,-0.007159687,-0.025233468,0.026723124,0.0031176233,0.0052678715,-0.044082906,0.00041369977,0.025637431,-0.0376253,-0.12182438,-0.009084618,0.0858013,-0.015983675,0.017679306,0.12014462,-0.018347805,0.03327801,0.018369203,0.045658126,-0.0046268366,0.0043414496,-0.045254357,-0.0140291555,-0.0012942762,-0.0012469774,-0.060088605,0.009998439,-0.07619139
-0.3574848,0.009119609,0.13506575,-0.046852335,0.019950738,0.103430964,-0.570227,0.0015746169,-0.02770616,-0.035801433,0.0023913204,0.0011622484,-0.007159687,-0.025233468,0.026723124,0.0031176233,0.0052678715,-0.044082906,0.00041369977,0.025637431,-0.0376253,-0.12182438,-0.009084618,0.0858013,-0.015983675,0.017679306,0.12014462,-0.018347805,0.03327801,0.018369203,0.045658126,-0.0046268366,0.0043414496,-0.045254357,-0.0140291555,-0.0012942762,-0.0012469774,-0.060088605,0.009998439,-0.07619139
-0.3574848,0.009119609,0.13506575,-0.046852335,0.019950738,0.103430964,-0.570227,0.0015746169,-0.02770616,-0.035801433,0.0023913204,0.0011622484,-0.007159687,-0.025233468,0.026723124,0.0031176233,0.0052678715,-0.044082906,0.00041369977,0.025637431,-0.0376253,-0.12182438,-0.009084618,0.0858013,-0.015983675,0.017679306,0.12014462,-0.018347805,0.03327801,0.018369203,0.045658126,-0.0046268366,0.0043414496,-0.045254357,-0.0140291555,-0.0012942762,-0.0012469774,-0.060088605,0.009998439,-0.07619139
-0.3574848,0.009119609,0.13506575,-0.046852335,0.019950738,0.103430964,-0.570227,0.0015746169,-0.02770616,-0.035801433,0.0023913204,0.0011622484,-0.007159687,-0.025233468,0.026723124,0.0031176233,0.0052678715,-0.044082906,0.00041369977,0.025637431,-0.0376253,-0.12182438,-0.009084618,0.0858013,-0.015983675,0.017679306,0.12014462,-0.018347805,0.03327801,0.018369203,0.045658126,-0.0046268366,0.0043414496,-0.045254357,-0.0140291555,-0.0012942762,-0.0012469774,-0.060088605,0.009998439,-0.07619139
-0.3574848,0.009119609,0.13506575,-0.046852335,0.019950738,0.103430964,-0.570227,0.0015746169,-0.02770616,-0.035801433,0.0023913204,0.0011622484,-0.007159687,-0.025233468,0.026723124,0.0031176233,0.0052678715,-0.044082906,0.00041369977,0.025637431,-0.0376253,-0.12182438,-0.009084618,0.0858013,-0.015983675,0.017679306,0.12014462,-0.018347805,0.03327801,0.018369203,0.045658126,-0.0046268366,0.0043414496,-0.045254357,-0.0140291555,-0.0012942762,-0.0012469774,-0.060088605,0.009998439,-0.07619139
-0.3574848,0.009119609,0.13506575,-0.046852335,0.019950738,0.103430964,-0.570227,0.0015746169,-0.02770616,-0.035801433,0.0023913204,0.0011622484,-0.007159687,-0.025233468,0.026723124,0.0031176233,0.0052678715,-0.044082906,0.00041369977,0.025637431,-0.0376253,-0.12182438,-0.009084618,0.0858013,-0.015983675,0.017679306,0.12014462,-0.018347805,0.03327801,0.018369203,0.045658126,-0.0046268366,0.0043414496,-0.045254357,-0.0140291555,-0.0012942762,-0.0012469774,-0.060088605,0.009998439,-0.07619139
-0.3574848,0.009119609,0.13506575,-0.046852335,0.019950738,0.103430964,-0.570227,0.0015746169,-0.02770616,-0.035801433,0.0023913204,0.0011622484,-0.007159687,-0.025233468,0.026723124,0.0031176233,0.0052678715,-0.044082906,0.00041369977,0.025637431,-0.0376253,-0.12182438,-0.009084618,0.0858013,-0.015983675,0.017679306,0.12014462,-0.018347805,0.03327801,0.018369203,0.045658126,-0.0046268366,0.0043414496,-0.045254357,-0.0140291555,-0.0012942762,-0.0012469774,-0.060088605,0.009998439,-0.07619139
-0.3574848,0.009119609,0.13506575,-0.046852335,0.019950738,0.103430964,-0.570227,0.0015746169,-0.02770616,-0.035801433,0.0023913204,0.0011622484,-0.007159687,-0.025233468,0.026723124,0.0031176233,0.0052678715,-0.044082906,0.00041369977,0.025637431,-0.0376253,-0.12182438,-0.009084618,0.0858013,-0.015983675,0.017679306,0.12014462,-0.018347805,0.03327801,0.018369203,0.045658126,-0.0046268366,0.0043414496,-0.045254357,-0.0140291555,-0.0012942762,-0.0012469774,-0.060088605,0.009998439,-0.07619139
-0.35770667,0.009119609,0.13506575,-0.046852335,0.019950738,0.10333275,-0.5689861,0.0015746169,-0.02770616,-0.035801433,3.6408674e-05,0.0011622484,-0.0071816077,-0.025233468,0.026723124,0.0031176233,0.005315145,-0.044066153,0.00041369977,0.025636321,-0.0376253,-0.12182438,-0.009084618,0.0858013,-0.015983675,0.017679306,0.12126121,-0.018347805,0.03327801,0.018369203,0.045658126,-0.00465733,0.0043414496,-0.045220256,-0.0140291555,-0.0012942762,-0.0012469774,-0.060088605,0.009998439,-0.075918496
-0.35770667,0.009119609,0.13560008,-0.046852335,0.019950738,0.10333275,-0.5689861,0.0015746169,-0.02770616,-0.035801433,-0.00410723,0.0011622484,-0.0071816077,-0.025233468,0.026723124,0.0031176233,0.005315145,-0.044066153,0.00041369977,0.025633069,-0.0376253,-0.12182438,-0.009084618,0.0858013,-0.015983675,0.017679306,0.11857869,-0.018347805,0.03327801,0.018369203,0.045658126,-0.00465733,0.0043414496,-0.046123456,-0.0140291555,-0.0012942762,-0.0012469774,-0.060088605,0.009998439,-0.075918496
